Chromosome	Begin	End	Size	Direction	Feature
chrIV	219405	219777	372	NA	<RDI1_<PPH21
chrIV	219778	220887	1109	-	PPH21
chrIV	220888	222542	1654	NA	<PPH21_>YDL133W
chrIV	222543	223856	1313	+	YDL133W
chrIV	223857	224419	562	NA	>YDL133W_>CDC53
chrIV	224420	226867	2447	+	CDC53
chrIV	226868	227508	640	NA	>CDC53_>LYS21
chrIV	227509	228831	1322	+	LYS21
chrIV	228832	229286	454	NA	>LYS21_>STF1
chrIV	229287	229547	260	+	STF1
chrIV	229548	230021	473	NA	>STF1_>RPP1B
chrIV	230022	230135	319	+	RPP1B
chrIV	230136	230436	300	NA	>RPP1B_intron_>RPP1B
chrIV	230437	230643	319	+	RPP1B
chrIV	230644	231139	495	NA	>RPP1B_>YDL129W
chrIV	231140	232015	875	+	YDL129W
chrIV	232016	232767	751	NA	>YDL129W_>VCX1
chrIV	232768	234003	1235	+	VCX1
chrIV	234004	235042	1038	NA	>VCX1_>PCL2
chrIV	235043	235969	926	+	PCL2
chrIV	235970	236272	302	NA	>PCL2_<CDC48
chrIV	236273	238780	2507	-	CDC48
chrIV	238781	239134	353	NA	<CDC48_<HNT1
chrIV	239135	239514	571	-	HNT1
chrIV	239515	239625	110	NA	<HNT1_intron_<HNT1
chrIV	239626	239722	571	-	HNT1
chrIV	239723	240374	651	NA	<HNT1_>YDL124W
chrIV	240375	241313	938	+	YDL124W
chrIV	241314	241533	219	NA	>YDL124W_>SNA4
chrIV	241534	241956	422	+	SNA4
chrIV	241957	242667	710	NA	>SNA4_>UBP1
chrIV	242668	245097	2429	+	UBP1
chrIV	245098	245248	150	NA	>UBP1_<YDL121C
chrIV	245249	245698	449	-	YDL121C
chrIV	245699	246038	339	NA	<YDL121C_>YFH1
chrIV	246039	246563	524	+	YFH1
chrIV	246564	246804	240	NA	>YFH1_<YDL119C
chrIV	246805	247728	923	-	YDL119C
chrIV	247729	248696	967	NA	<YDL119C_>CYK3
chrIV	248697	251354	2657	+	CYK3
chrIV	251355	251681	326	NA	>CYK3_>NUP84
chrIV	251682	253862	2180	+	NUP84
chrIV	253863	254110	247	NA	>NUP84_<IWR1
chrIV	254111	255090	1060	-	IWR1
chrIV	255091	255160	69	NA	<IWR1_intron_<IWR1
chrIV	255161	255242	1060	-	IWR1
chrIV	255243	255719	476	NA	<IWR1_>YDL114W
chrIV	255720	256646	926	+	YDL114W
chrIV	256647	256748	101	NA	>YDL114W_<ATG20
chrIV	256749	258671	1922	-	ATG20
chrIV	258672	259030	358	NA	<ATG20_>TRM3
chrIV	259031	263341	4310	+	TRM3
chrIV	263342	263428	86	NA	>TRM3_<RRP42
chrIV	263429	264226	797	-	RRP42
chrIV	264227	264627	400	NA	<RRP42_<TMA17
chrIV	264628	265080	452	-	TMA17
chrIV	265081	265373	292	NA	<TMA17_<YDL109C
chrIV	265374	267317	1943	-	YDL109C
chrIV	267318	267825	507	NA	<YDL109C_>KIN28
chrIV	267826	268815	989	+	KIN28
chrIV	268816	269036	220	NA	>KIN28_>MSS2
chrIV	269037	270092	1055	+	MSS2
chrIV	270093	270337	244	NA	>MSS2_<PHO2
chrIV	270338	272017	1679	-	PHO2
chrIV	272018	272504	486	NA	<PHO2_>NSE4
chrIV	272505	273713	1208	+	NSE4
chrIV	273714	273800	86	NA	>NSE4_<QRI7
chrIV	273801	275025	1224	-	QRI7
chrIV	275026	275296	270	NA	<QRI7_<QRI1
chrIV	275297	276730	1433	-	QRI1
chrIV	276731	277020	289	NA	<QRI1_>POL3
chrIV	277021	280314	3293	+	POL3
chrIV	280315	280455	140	NA	>POL3_<DUN1
chrIV	280456	281997	1541	-	DUN1
chrIV	281998	282260	262	NA	<DUN1_<GET3
chrIV	282261	283325	1064	-	GET3
chrIV	283326	283567	241	NA	<GET3_>BUG1
chrIV	283568	284593	1025	+	BUG1
chrIV	284594	284729	135	NA	>BUG1_<SNU23
chrIV	284730	285314	584	-	SNU23
chrIV	285315	285539	224	NA	<SNU23_<RPN6
chrIV	285540	286844	1304	-	RPN6
chrIV	286845	287208	363	NA	<RPN6_>PMT1
chrIV	287209	289662	2453	+	PMT1
chrIV	289663	290058	395	NA	>PMT1_>PMT5
chrIV	290059	292290	2231	+	PMT5
chrIV	292291	292930	639	NA	>PMT5_>SRP14
chrIV	292931	293371	440	+	SRP14
chrIV	293372	293541	169	NA	>SRP14_<UBX3
chrIV	293542	294909	1367	-	UBX3
chrIV	294910	295183	273	NA	<UBX3_<RAM1
chrIV	295184	296479	1295	-	RAM1
chrIV	296480	296969	489	NA	<RAM1_>YDL089W
chrIV	296970	298424	1454	+	YDL089W
chrIV	298425	298566	141	NA	>YDL089W_<ASM4
chrIV	298567	300153	1586	-	ASM4
chrIV	300154	300363	209	NA	<ASM4_<LUC7
chrIV	300364	301149	785	-	LUC7
chrIV	301150	301562	412	NA	<LUC7_>YDL086W
chrIV	301563	302384	821	+	YDL086W
chrIV	302385	302613	228	NA	>YDL086W_<YDL085C-A
chrIV	302614	302820	206	-	YDL085C-A
chrIV	302821	303360	539	NA	<YDL085C-A_>NDE2
chrIV	303361	304998	1637	+	NDE2
chrIV	304999	305386	387	NA	>NDE2_>SUB2
chrIV	305387	306727	1340	+	SUB2
chrIV	306728	307075	347	NA	>SUB2_<RPS16B
chrIV	307076	307486	410	-	RPS16B
chrIV	307487	308573	1086	NA	<RPS16B_>RPL13A
chrIV	308574	308577	598	+	RPL13A_YDL082W
chrIV	308578	308942	364	NA	>RPL13A_YDL082W_intron_>RPL13A_YDL082W
chrIV	308943	309538	598	+	RPL13A_YDL082W
chrIV	309539	309951	412	NA	>RPL13A__YDL082W<RPP1A
chrIV	309952	310272	320	-	RPP1A
chrIV	310273	310791	518	NA	<RPP1A_<THI3
chrIV	310792	312621	1829	-	THI3
chrIV	312622	313100	478	NA	<THI3_<MRK1
chrIV	313101	314898	1797	-	MRK1
chrIV	314899	315506	607	NA	<MRK1_<MDH3
chrIV	315507	316538	1031	-	MDH3
chrIV	316539	317120	581	NA	<MDH3_<VAM6
chrIV	317121	320270	3149	-	VAM6
chrIV	320271	320817	546	NA	<VAM6_<RXT3
chrIV	320818	321702	884	-	RXT3
chrIV	321703	322375	672	NA	<RXT3_>RPL31A
chrIV	322376	322432	340	+	RPL31A_YDL075W
chrIV	322433	322853	420	NA	>RPL31A_YDL075W_intron_>RPL31A_YDL075W
chrIV	322854	323138	340	+	RPL31A_YDL075W
chrIV	323139	324196	1057	NA	>RPL31A_<BRE1
chrIV	324197	326299	2102	-	BRE1
chrIV	326300	326762	462	NA	<BRE1_>YDL073W
chrIV	326763	329717	2954	+	YDL073W
chrIV	329718	329985	267	NA	>YDL073W_<YET3
chrIV	329986	330597	611	-	YET3
chrIV	330598	331173	575	NA	<YET3_>BDF2
chrIV	331174	333090	1916	+	BDF2
chrIV	333091	333270	179	NA	>BDF2_<CBS1
chrIV	333271	333972	701	-	CBS1
chrIV	333973	334366	393	NA	<CBS1_<COX9
chrIV	334367	334546	179	-	COX9
chrIV	334547	334984	437	NA	<COX9_>IDP1
chrIV	334985	336271	1286	+	IDP1
chrIV	336272	336398	126	NA	>IDP1_<PEX19
chrIV	336399	337451	1052	-	PEX19
chrIV	337452	337785	333	NA	<PEX19_>UBC9
chrIV	337786	338220	434	+	UBC9
chrIV	338221	338421	200	NA	>UBC9_<YDL063C
chrIV	338422	340284	1862	-	YDL063C
chrIV	340285	340777	492	NA	<YDL063C_<RPS29B
chrIV	340778	340948	170	-	RPS29B
chrIV	340949	341768	819	NA	<RPS29B_>TSR1
chrIV	341769	344135	2366	+	TSR1
chrIV	344136	344388	252	NA	>TSR1_<RAD59
chrIV	344389	345105	716	-	RAD59
chrIV	345106	345816	710	NA	<RAD59_>USO1
chrIV	345817	351189	5372	+	USO1
chrIV	351190	351585	395	NA	>USO1_>YDL057W
chrIV	351586	352572	986	+	YDL057W
chrIV	352573	353028	455	NA	>YDL057W_>MBP1
chrIV	353029	355530	2501	+	MBP1
chrIV	355531	355825	294	NA	>MBP1_<PSA1
chrIV	355826	356911	1085	-	PSA1
chrIV	356912	359731	2819	NA	<PSA1_>tK(UUU)D
chrIV	359732	359769	73	+	tK(UUU)D
chrIV	359770	359790	20	NA	>tK(UUU)D_intron_>tK(UUU)D
chrIV	359791	359827	73	+	tK(UUU)D
chrIV	359828	359979	151	NA	>tK(UUU)D_<MCH1
chrIV	359980	361440	1460	-	MCH1
chrIV	361441	361853	412	NA	<MCH1_<PBP4
chrIV	361854	362411	557	-	PBP4
chrIV	362412	362826	414	NA	<PBP4_<SLC1
chrIV	362827	363738	911	-	SLC1
chrIV	363739	364106	367	NA	<SLC1_>LHP1
chrIV	364107	364934	827	+	LHP1
chrIV	364935	365224	289	NA	>LHP1_<KNH1
chrIV	365225	366031	806	-	KNH1
chrIV	366032	366897	865	NA	<KNH1_<STP4
chrIV	366898	368370	1472	-	STP4
chrIV	368371	370385	2014	NA	<STP4_>SIT4
chrIV	370386	371321	935	+	SIT4
chrIV	371322	371854	532	NA	>SIT4_>NPC2
chrIV	371855	372376	521	+	NPC2
chrIV	372377	372862	485	NA	>NPC2_>MRP10
chrIV	372863	373150	287	+	MRP10
chrIV	373151	373302	151	NA	>MRP10_<FAD1
chrIV	373303	374223	920	-	FAD1
chrIV	374224	374581	357	NA	<FAD1_<MTF2
chrIV	374582	375904	1322	-	MTF2
chrIV	375905	376295	390	NA	<MTF2_<PRP11
chrIV	376296	377096	800	-	PRP11
chrIV	377097	377373	276	NA	<PRP11_<SIR2
chrIV	377374	379062	1688	-	SIR2
chrIV	379063	379490	427	NA	<SIR2_<NAT1
chrIV	379491	382055	2564	-	NAT1
chrIV	382056	382601	545	NA	<NAT1_<unannotated
chrIV	382602	385545	2943	-	unannotated
chrIV	385546	387291	1745	NA	<unannotated_<PUS9
chrIV	387292	388680	1388	-	PUS9
chrIV	388681	388950	269	NA	<PUS9_<GPR1
chrIV	388951	391836	2885	-	GPR1
chrIV	391837	392431	594	NA	<GPR1_<SLM3
chrIV	392432	393685	1253	-	SLM3
chrIV	393686	393989	303	NA	<SLM3_>DBP10
chrIV	393990	396977	2987	+	DBP10
chrIV	396978	397309	331	NA	>DBP10_>PRP9
chrIV	397310	398902	1592	+	PRP9
chrIV	398903	399112	209	NA	>PRP9_>ARP2
chrIV	399113	400411	1298	+	ARP2
chrIV	400412	400769	357	NA	>ARP2_<MPS1
chrIV	400770	403064	2294	-	MPS1
chrIV	403065	403467	402	NA	<MPS1_<YDL027C
chrIV	403468	404730	1262	-	YDL027C
chrIV	404731	405115	384	NA	<YDL027C_<YDL025C
chrIV	405116	406978	1862	-	YDL025C
chrIV	406979	408219	1240	NA	<YDL025C_<DIA3
chrIV	408220	409626	1406	-	DIA3
chrIV	409627	410147	520	NA	<DIA3_>tA(AGC)D
chrIV	410148	410220	72	+	tA(AGC)D
chrIV	410221	411591	1370	NA	>tA(AGC)D_>GPD1
chrIV	411592	412767	1175	+	GPD1
chrIV	412768	413719	951	NA	>GPD1_>GPM2
chrIV	413720	414655	935	+	GPM2
chrIV	414656	414879	223	NA	>GPM2_<RPN4
chrIV	414880	416475	1595	-	RPN4
chrIV	416476	417429	953	NA	<RPN4_<OSH2
chrIV	417430	421281	3851	-	OSH2
chrIV	421282	422599	1317	NA	<OSH2_<ERP3
chrIV	422600	423277	677	-	ERP3
chrIV	423278	423975	697	NA	<ERP3_>CDC7
chrIV	423976	425499	1523	+	CDC7
chrIV	425500	425768	268	NA	>CDC7_<TSC13
chrIV	425769	426701	932	-	TSC13
chrIV	426702	427129	427	NA	<TSC13_>NOP1
chrIV	427130	428113	983	+	NOP1
chrIV	428114	428832	718	NA	>NOP1_>SLX5
chrIV	428833	430692	1859	+	SLX5
chrIV	430693	431095	402	NA	>SLX5_<YDL012C
chrIV	431096	431194	98	-	YDL012C
chrIV	431195	432095	900	NA	<YDL012C_>YDL010W
chrIV	432096	432791	695	+	YDL010W
chrIV	432792	433262	470	NA	>YDL010W_>APC11
chrIV	433263	433760	497	+	APC11
chrIV	433761	434029	268	NA	>APC11_<tT(AGU)D
chrIV	434030	434102	72	-	tT(AGU)D
chrIV	434103	436330	2227	NA	<tT(AGU)D_<YDL007C-A
chrIV	436331	436588	257	-	YDL007C-A
chrIV	436589	437160	571	NA	<YDL007C-A_>tS(AGA)D1
chrIV	437161	437242	81	+	tS(AGA)D1
chrIV	437243	437435	192	NA	>tS(AGA)D1_>RPT2
chrIV	437436	438749	1313	+	RPT2
chrIV	438750	439297	547	NA	>RPT2_>PTC1
chrIV	439298	440143	845	+	PTC1
chrIV	440144	440402	258	NA	>PTC1_<MED2
chrIV	440403	441698	1295	-	MED2
chrIV	441699	442417	718	NA	<MED2_>ATP16
chrIV	442418	442900	482	+	ATP16
chrIV	442901	444071	1170	NA	>ATP16_>MCD1
chrIV	444072	445772	1700	+	MCD1
chrIV	445773	446355	582	NA	>MCD1_<NHP10
chrIV	446356	446967	611	-	NHP10
chrIV	446968	447372	404	NA	<NHP10_>RMD1
chrIV	447373	448665	1292	+	RMD1
chrIV	448666	449608	942	NA	>RMD1_<NTH1
chrIV	449609	451864	2255	-	NTH1
chrIV	451865	452433	568	NA	<NTH1_>YRB1
chrIV	452434	453039	605	+	YRB1
chrIV	453040	453510	470	NA	>YRB1_>RCR2
chrIV	453511	454143	632	+	RCR2
chrIV	454144	454589	445	NA	>RCR2_>RAD57
chrIV	454590	455972	1382	+	RAD57
chrIV	455973	456224	251	NA	>RAD57_<MAF1
chrIV	456225	457406	1181	-	MAF1
chrIV	457407	457930	523	NA	<MAF1_<SOK1
chrIV	457931	460636	2705	-	SOK1
chrIV	460637	461230	593	NA	<SOK1_>TRP1
chrIV	461231	461905	674	+	TRP1
chrIV	461906	462822	916	NA	>TRP1_>GAL3
chrIV	462823	464385	1562	+	GAL3
chrIV	464386	465307	921	NA	>GAL3_>SNQ2
chrIV	465308	469813	4505	+	SNQ2
chrIV	469814	471241	1427	NA	>SNQ2_>RPL4B
chrIV	471242	472330	1088	+	RPL4B
chrIV	472331	472545	214	NA	>RPL4B_>PSF1
chrIV	472546	473172	626	+	PSF1
chrIV	473173	473434	261	NA	>PSF1_>RAD61
chrIV	473435	475378	1943	+	RAD61
chrIV	475379	477185	1806	NA	>RAD61_>HED1
chrIV	477186	477674	488	+	HED1
chrIV	477675	477862	187	NA	>HED1_<DAD1
chrIV	477863	478147	284	-	DAD1
chrIV	478148	478503	355	NA	<DAD1_<KCS1
chrIV	478504	481656	3152	-	KCS1
chrIV	481657	482058	401	NA	<KCS1_<YDR018C
chrIV	482059	483249	1190	-	YDR018C
chrIV	483250	483551	301	NA	<YDR018C_<GCV1
chrIV	483552	484754	1202	-	GCV1
chrIV	484755	485134	379	NA	<GCV1_<YDR020C
chrIV	485135	485833	698	-	YDR020C
chrIV	485834	486192	358	NA	<YDR020C_>FAL1
chrIV	486193	487392	1199	+	FAL1
chrIV	487393	487460	67	NA	>FAL1_<CIS1
chrIV	487461	488051	590	-	CIS1
chrIV	488052	488185	133	NA	<CIS1_<tV(UAC)D
chrIV	488186	488259	73	-	tV(UAC)D
chrIV	488260	488896	636	NA	<tV(UAC)D_>SES1
chrIV	488897	490285	1388	+	SES1
chrIV	490286	490405	119	NA	>SES1_>unannotated
chrIV	490406	490891	485	+	unannotated
chrIV	490892	490903	11	NA	>unannotated_>RPS11A
chrIV	490904	490948	469	+	RPS11A
chrIV	490949	491287	338	NA	>RPS11A_intron_>RPS11A
chrIV	491288	491713	469	+	RPS11A
chrIV	491714	491944	230	NA	>RPS11A_<YDR026C
chrIV	491945	493657	1712	-	YDR026C
chrIV	493658	494037	379	NA	<YDR026C_<VPS54
chrIV	494038	496707	2669	-	VPS54
chrIV	496708	497223	515	NA	<VPS54_<REG1
chrIV	497224	500268	3044	-	REG1
chrIV	500269	501141	872	NA	<REG1_<RAD28
chrIV	501142	502662	1520	-	RAD28
chrIV	502663	502886	223	NA	<RAD28_>MIC14
chrIV	502887	503252	365	+	MIC14
chrIV	503253	503472	219	NA	>MIC14_<YCP4-like
chrIV	503473	504084	611	-	YCP4-like
chrIV	504085	507535	3450	NA	<YCP4-like_>unannotated
chrIV	507536	508498	962	+	unannotated
chrIV	508499	509125	626	NA	>unannotated_<unannotated
chrIV	509126	511498	2372	-	unannotated
chrIV	511499	513431	1932	NA	<unannotated_<unannotated
chrIV	513432	517472	4040	-	unannotated
chrIV	517473	519131	1658	NA	<unannotated_>tL(UAA)D
chrIV	519132	519215	83	+	tL(UAA)D
chrIV	519216	520360	1144	NA	>tL(UAA)D_>tQ(UUG)D1
chrIV	520361	520432	71	+	tQ(UUG)D1
chrIV	520433	521204	771	NA	>tQ(UUG)D1_>ARO3
chrIV	521205	522317	1112	+	ARO3
chrIV	522318	522599	281	NA	>ARO3_<EHD3
chrIV	522600	524102	1502	-	EHD3
chrIV	524103	524829	726	NA	<EHD3_>KRS1
chrIV	524830	526605	1775	+	KRS1
chrIV	526606	526811	205	NA	>KRS1_<ENA5
chrIV	526812	530087	3275	-	ENA5
chrIV	530088	530696	608	NA	<ENA5_<ENA2
chrIV	530697	533972	3275	-	ENA2
chrIV	533973	534581	608	NA	<ENA2_<unannotated
chrIV	534582	537857	3275	-	unannotated
chrIV	537858	538466	608	NA	<unannotated_<ENA1
chrIV	538467	541742	3275	-	ENA1
chrIV	541743	543077	1334	NA	<ENA1_>RSM10
chrIV	543078	543689	611	+	RSM10
chrIV	543690	543875	185	NA	>RSM10_<YDR042C
chrIV	543876	544478	602	-	YDR042C
chrIV	544479	545948	1469	NA	<YDR042C_<NRG1
chrIV	545949	546644	695	-	NRG1
chrIV	546645	549916	3271	NA	<NRG1_>HEM13
chrIV	549917	550903	986	+	HEM13
chrIV	550904	551252	348	NA	>HEM13_<RPC11
chrIV	551253	551585	332	-	RPC11
chrIV	551586	552037	451	NA	<RPC11_<BAP3
chrIV	552038	553852	1814	-	BAP3
chrIV	553853	555648	1795	NA	<BAP3_>HEM12
chrIV	555649	556737	1088	+	HEM12
chrIV	556738	557042	304	NA	>HEM12_>YDR049W
chrIV	557043	558941	1898	+	YDR049W
chrIV	558942	559514	572	NA	>YDR049W_<TPI1
chrIV	559515	560261	746	-	TPI1
chrIV	560262	560844	582	NA	<TPI1_<YDR051C
chrIV	560845	561849	1004	-	YDR051C
chrIV	561850	562299	449	NA	<YDR051C_<DBF4
chrIV	562300	564414	2114	-	DBF4
chrIV	564415	565228	813	NA	<DBF4_<CDC34
chrIV	565229	566116	887	-	CDC34
chrIV	566117	567315	1198	NA	<CDC34_>PST1
chrIV	567316	568650	1334	+	PST1
chrIV	568651	568811	160	NA	>PST1_<YDR056C
chrIV	568812	569429	617	-	YDR056C
chrIV	569430	569715	285	NA	<YDR056C_>YOS9
chrIV	569716	571344	1628	+	YOS9
chrIV	571345	571511	166	NA	>YOS9_<TGL2
chrIV	571512	572492	980	-	TGL2
chrIV	572493	572670	177	NA	<TGL2_>tR(UCU)D
chrIV	572671	572742	71	+	tR(UCU)D
chrIV	572743	572752	9	NA	>tR(UCU)D_>tD(GUC)D
chrIV	572753	572824	71	+	tD(GUC)D
chrIV	572825	573022	197	NA	>tD(GUC)D_<unannotated
chrIV	573023	573355	332	-	unannotated
chrIV	573356	573380	24	NA	<unannotated_<UBC5
chrIV	573381	573399	64	-	UBC5
chrIV	573400	573512	112	NA	<UBC5_intron_<UBC5
chrIV	573513	573559	64	-	UBC5
chrIV	573560	574437	877	NA	<UBC5_>MAK21
chrIV	574438	577515	3077	+	MAK21
chrIV	577516	577952	436	NA	>MAK21_>YDR061W
chrIV	577953	579572	1619	+	YDR061W
chrIV	579573	580262	689	NA	>YDR061W_>LCB2
chrIV	580263	581948	1685	+	LCB2
chrIV	581949	582451	502	NA	>LCB2_>YDR063W
chrIV	582452	582901	449	+	YDR063W
chrIV	582902	583255	353	NA	>YDR063W_>RPS13
chrIV	583256	583267	445	+	RPS13
chrIV	583268	583806	538	NA	>RPS13_intron_>RPS13
chrIV	583807	584241	445	+	RPS13
chrIV	584242	584475	233	NA	>RPS13_>YDR065W
chrIV	584476	585573	1097	+	YDR065W
chrIV	585574	585696	122	NA	>YDR065W_<YDR066C
chrIV	585697	586287	590	-	YDR066C
chrIV	586288	586579	291	NA	<YDR066C_<YDR067C
chrIV	586580	587254	674	-	YDR067C
chrIV	587255	587501	246	NA	<YDR067C_>DOS2
chrIV	587502	588434	932	+	DOS2
chrIV	588435	588727	292	NA	>DOS2_<DOA4
chrIV	588728	591508	2780	-	DOA4
chrIV	591509	591924	415	NA	<DOA4_<YDR070C
chrIV	591925	592206	281	-	YDR070C
chrIV	592207	592652	445	NA	<YDR070C_<PAA1
chrIV	592653	593228	575	-	PAA1
chrIV	593229	593586	357	NA	<PAA1_<IPT1
chrIV	593587	595170	1583	-	IPT1
chrIV	595171	596264	1093	NA	<IPT1_>SNF11
chrIV	596265	596774	509	+	SNF11
chrIV	596775	597718	943	NA	>SNF11_>TPS2
chrIV	597719	600409	2690	+	TPS2
chrIV	600410	600981	571	NA	>TPS2_>PPH3
chrIV	600982	601908	926	+	PPH3
chrIV	601909	602293	384	NA	>PPH3_>RAD55
chrIV	602294	603514	1220	+	RAD55
chrIV	603515	604618	1103	NA	>RAD55_>SED1
chrIV	604619	605635	1016	+	SED1
chrIV	605636	606023	387	NA	>SED1_<SHU2
chrIV	606024	606695	671	-	SHU2
chrIV	606696	606889	193	NA	<SHU2_>PET100
chrIV	606890	607225	335	+	PET100
chrIV	607226	607418	192	NA	>PET100_<TFB5
chrIV	607419	607637	218	-	TFB5
chrIV	607638	607833	195	NA	<TFB5_>VPS41
chrIV	607834	610812	2978	+	VPS41
chrIV	610813	611130	317	NA	>VPS41_<PDC2
chrIV	611131	613908	2777	-	PDC2
chrIV	613909	614267	358	NA	<PDC2_>STN1
chrIV	614268	615752	1484	+	STN1
chrIV	615753	615842	89	NA	>STN1_>RRP8
chrIV	615843	617078	1235	+	RRP8
chrIV	617079	617231	152	NA	>RRP8_<TVP23
chrIV	617232	617831	599	-	TVP23
chrIV	617832	618114	282	NA	<TVP23_<AFR1
chrIV	618115	619977	1862	-	AFR1
chrIV	619978	620754	776	NA	<AFR1_<SSS1
chrIV	620755	620997	242	-	SSS1
chrIV	620998	621296	298	NA	<SSS1_<RRP1
chrIV	621297	622133	836	-	RRP1
chrIV	622134	622323	189	NA	<RRP1_<SLU7
chrIV	622324	623472	1148	-	SLU7
chrIV	623473	623795	322	NA	<SLU7_<tR(ACG)D
chrIV	623796	623868	72	-	tR(ACG)D
chrIV	623869	625934	2065	NA	<tR(ACG)D_>YDR089W
chrIV	625935	628543	2608	+	YDR089W
chrIV	628544	628887	343	NA	>YDR089W_<YDR090C
chrIV	628888	629820	932	-	YDR090C
chrIV	629821	630529	708	NA	<YDR090C_<RLI1
chrIV	630530	632356	1826	-	RLI1
chrIV	632357	633697	1340	NA	<RLI1_>unannotated
chrIV	633698	634427	729	+	unannotated
chrIV	634428	635101	673	NA	>unannotated_>DNF2
chrIV	635102	639940	4838	+	DNF2
chrIV	639941	640958	1017	NA	>DNF2_>GIS1
chrIV	640959	643643	2684	+	GIS1
chrIV	643644	643928	284	NA	>GIS1_<MSH6
chrIV	643929	647657	3728	-	MSH6
chrIV	647658	647997	339	NA	<MSH6_<GRX3
chrIV	647998	648855	857	-	GRX3
chrIV	648856	648972	116	NA	<GRX3_<tQ(UUG)D2
chrIV	648973	649044	71	-	tQ(UUG)D2
chrIV	649045	651896	2851	NA	<tQ(UUG)D2_>BMH2
chrIV	651897	652718	821	+	BMH2
chrIV	652719	653302	583	NA	>BMH2_>TVP15
chrIV	653303	653734	431	+	TVP15
chrIV	653735	653975	240	NA	>TVP15_<ARX1
chrIV	653976	655757	1781	-	ARX1
chrIV	655758	656639	881	NA	<ARX1_>STE5
chrIV	656640	659393	2753	+	STE5
chrIV	659394	659462	68	NA	>STE5_<SPO71
chrIV	659463	663200	3737	-	SPO71
chrIV	663201	663638	437	NA	<SPO71_<TMS1
chrIV	663639	665060	1421	-	TMS1
chrIV	665061	665293	232	NA	<TMS1_>ARP10
chrIV	665294	666148	854	+	ARP10
chrIV	666149	666294	145	NA	>ARP10_<tI(AAU)D
chrIV	666295	666368	73	-	tI(AAU)D
chrIV	666369	666940	571	NA	<tI(AAU)D_<unannotated
chrIV	666941	672209	5268	-	unannotated
chrIV	672210	673226	1016	NA	<unannotated_<YDR107C
chrIV	673227	675245	2018	-	YDR107C
chrIV	675246	675479	233	NA	<YDR107C_>GSG1
chrIV	675480	677576	2096	+	GSG1
chrIV	677577	677730	153	NA	>GSG1_<YDR109C
chrIV	677731	679878	2147	-	YDR109C
chrIV	679879	680312	433	NA	<YDR109C_>FOB1
chrIV	680313	682013	1700	+	FOB1
chrIV	682014	682517	503	NA	>FOB1_<YDR111C
chrIV	682518	684041	1523	-	YDR111C
chrIV	684042	684772	730	NA	<YDR111C_<PDS1
chrIV	684773	685894	1121	-	PDS1
chrIV	685895	686451	556	NA	<PDS1_>YDR115W
chrIV	686452	686769	317	+	YDR115W
chrIV	686770	687000	230	NA	>YDR115W_<MRPL1
chrIV	687001	687858	857	-	MRPL1
chrIV	687859	688222	363	NA	<MRPL1_<TMA64
chrIV	688223	689920	1697	-	TMA64
chrIV	689921	690158	237	NA	<TMA64_>APC4
chrIV	690159	692117	1958	+	APC4
chrIV	692118	692505	387	NA	>APC4_>YDR119W
chrIV	692506	694812	2306	+	YDR119W
chrIV	694813	695292	479	NA	>YDR119W_>YDR119W-A
chrIV	695293	695493	200	+	YDR119W-A
chrIV	695494	695827	333	NA	>YDR119W-A_<TRM1
chrIV	695828	697540	1712	-	TRM1
chrIV	697541	697863	322	NA	<TRM1_>DPB4
chrIV	697864	698454	590	+	DPB4
chrIV	698455	698978	523	NA	>DPB4_>KIN1
chrIV	698979	702173	3194	+	KIN1
chrIV	702174	702832	658	NA	>KIN1_<INO2
chrIV	702833	703747	914	-	INO2
chrIV	703748	704593	845	NA	<INO2_>YDR124W
chrIV	704594	705568	974	+	YDR124W
chrIV	705569	705675	106	NA	>YDR124W_<ECM18
chrIV	705676	707037	1361	-	ECM18
chrIV	707038	707512	474	NA	<ECM18_>SWF1
chrIV	707513	708523	1010	+	SWF1
chrIV	708524	708762	238	NA	>SWF1_>ARO1
chrIV	708763	713529	4766	+	ARO1
chrIV	713530	713827	297	NA	>ARO1_>YDR128W
chrIV	713828	717274	3446	+	YDR128W
chrIV	717275	717618	343	NA	>YDR128W_<SAC6
chrIV	717619	719526	1907	-	SAC6
chrIV	719527	720025	498	NA	<SAC6_<FIN1
chrIV	720026	720901	875	-	FIN1
chrIV	720902	721068	166	NA	<FIN1_<YDR131C
chrIV	721069	722739	1670	-	YDR131C
chrIV	722740	723094	354	NA	<YDR131C_<YDR132C
chrIV	723095	724582	1487	-	YDR132C
chrIV	724583	725415	832	NA	<YDR132C_<YDR134C
chrIV	725416	725643	227	-	YDR134C
chrIV	725644	727282	1638	NA	<YDR134C_<YCF1
chrIV	727283	731830	4547	-	YCF1
chrIV	731831	732537	706	NA	<YCF1_>RGP1
chrIV	732538	734529	1991	+	RGP1
chrIV	734530	734856	326	NA	>RGP1_>HPR1
chrIV	734857	737115	2258	+	HPR1
chrIV	737116	737967	851	NA	>HPR1_<RUB1
chrIV	737968	737986	166	-	RUB1
chrIV	737987	738054	67	NA	<RUB1_intron_<RUB1
chrIV	738055	738203	166	-	RUB1
chrIV	738204	738416	212	NA	<RUB1_>MTQ2
chrIV	738417	739082	665	+	MTQ2
chrIV	739083	739179	96	NA	>MTQ2_<DOP1
chrIV	739180	744276	5096	-	DOP1
chrIV	744277	744751	474	NA	<DOP1_<PEX7
chrIV	744752	745879	1127	-	PEX7
